Release,Technique,ModuleName,Feature,LOC
v4,DOP,dStaticCategoryController,manageReminder,39
v4,DOP,dStaticCategoryGUI,staticCategory,474
v4,DOP,dStaticCategoryGUI,edit,49
v4,DOP,dStaticCategoryGUI,create,153
v4,DOP,dStaticCategoryGUI,gui,126
v4,DOP,dStaticCategoryModel,staticCategory,308
v4,DOP,dStaticCategoryModel,reminder,144
v4,DOP,dStaticCategoryModel,manageReminder,144
v4,DOP,dStaticCategoryPersistence,staticCategory,68
v4,DOP,dStaticCategoryPersistence,reminder,66
v4,DOP,dStaticCategoryPersistence,manageReminder,66
v4,DOP,dStaticCategoryPriorityGUI,staticCategory,19
v4,DOP,dStaticCategoryPriorityGUI,priority,19
v4,DOP,dStaticCategoryReminder,staticCategory,14
v4,DOP,dStaticCategoryReminder,reminder,12
v4,DOP,dStaticCategoryReminder,manageReminder,12
v4,DOP,dUtil,reminder,86
v4,DOP,dUtil,manageReminder,84
v4,DOP,dViewController,view,48
v4,DOP,dViewController,reminder,46
v4,DOP,dViewController,manageReminder,46
v4,DOP,dViewDateRangeGUI,view,62
v4,DOP,dViewDateRangeGUI,dateRange,62
v4,DOP,dViewDateRangeGUI,gui,60
v4,DOP,dViewDateRepeatGUI,view,68
v4,DOP,dViewDateRepeatGUI,dateRepeat,68
v4,DOP,dViewDateRepeatGUI,gui,66
v4,DOP,dViewFixedDateGUI,view,68
v4,DOP,dViewFixedDateGUI,fixedDate,68
v4,DOP,dViewFixedDateGUI,gui,66
v4,DOP,dViewGUI,view,20
v4,DOP,dViewGUI,gui,18
v4,DOP,dViewModel,view,21
v4,DOP,dViewModel,reminder,19
v4,DOP,dViewModel,manageReminder,19
v1,CC,AddReminderActivity,create,17
v1,CC,AllRemindersFilter,reminder,17
v1,CC,AllRemindersFilter,manageReminder,17
v1,CC,AllRemindersFilter,view,7
v1,CC,Column,reminder,13
v1,CC,Column,manageReminder,13
v1,CC,Controller,reminder,57
v1,CC,Controller,manageReminder,57
v1,CC,Controller,view,7
v1,CC,Controller,create,7
v1,CC,Controller,edit,7
v1,CC,Controller,delete,7
v1,CC,DateFormat,fixedDate,11
v1,CC,DatePickerDialogFragment,fixedDate,43
v1,CC,DBConstants,reminder,21
v1,CC,DBConstants,manageReminder,21
v1,CC,DBConstants,fixedDate,4
v1,CC,DBConstants,done,2
v1,CC,DBException,reminder,4
v1,CC,DBException,manageReminder,4
v1,CC,DBFactory,reminder,12
v1,CC,DBFactory,manageReminder,12
v1,CC,DBHelper,reminder,39
v1,CC,DBHelper,manageReminder,39
v1,CC,DBInvalidEntityException,reminder,7
v1,CC,DBInvalidEntityException,manageReminder,7
v1,CC,DBTypes,reminder,4
v1,CC,DBTypes,manageReminder,4
v1,CC,DefaultDBFactory,reminder,11
v1,CC,DefaultDBFactory,manageReminder,11
v1,CC,DefaultReminderDAO,reminder,96
v1,CC,DefaultReminderDAO,manageReminder,96
v1,CC,DefaultReminderDAO,create,7
v1,CC,DefaultReminderDAO,view,12
v1,CC,DefaultReminderDAO,edit,10
v1,CC,DefaultReminderDAO,delete,11
v1,CC,DefaultReminderDAO,done,2
v1,CC,DefaultReminderDAO,fixedDate,4
v1,CC,EditReminderActivity,edit,38
v1,CC,EditReminderActivity,fixedDate,6
v1,CC,Entity,reminder,10
v1,CC,Entity,manageReminder,10
v1,CC,ExternalAddReminderActivity,create,67
v1,CC,ExternalAddReminderActivity,fixedDate,8
v1,CC,FiltersListChangeListener,reminder,5
v1,CC,FiltersListChangeListener,gui,5
v1,CC,ForeignKey,reminder,10
v1,CC,ForeignKey,manageReminder,10
v1,CC,GenericDAO,reminder,123
v1,CC,GenericDAO,manageReminder,123
v1,CC,InvalidDateException,reminder,7
v1,CC,InvalidDateException,manageReminder,7
v1,CC,InvalidFormatException,reminder,7
v1,CC,InvalidFormatException,manageReminder,7
v1,CC,InvalidHourException,reminder,8
v1,CC,InvalidHourException,gui,8
v1,CC,InvalidTextException,reminder,7
v1,CC,InvalidTextException,manageReminder,7
v1,CC,Mask,reminder,44
v1,CC,Mask,manageReminder,44
v1,CC,Patterns,reminder,6
v1,CC,Patterns,manageReminder,6
v1,CC,Patterns,fixedDate,2
v1,CC,Reminder,reminder,94
v1,CC,Reminder,manageReminder,94
v1,CC,Reminder,fixedDate,28
v1,CC,Reminder,done,14
v1,CC,ReminderActivity,reminder,245
v1,CC,ReminderActivity,gui,245
v1,CC,ReminderActivity,fixedDate,95
v1,CC,ReminderActivity,create,15
v1,CC,ReminderAddActivity,create,154
v1,CC,ReminderAddActivity,fixedDate,14
v1,CC,ReminderArrayAdapter,reminder,156
v1,CC,ReminderArrayAdapter,gui,156
v1,CC,ReminderArrayAdapter,fixedDate,75
v1,CC,ReminderArrayAdapter,done,14
v1,CC,ReminderContentProvider,reminder,71
v1,CC,ReminderContentProvider,manageReminder,71
v1,CC,ReminderContentProvider,fixedDate,8
v1,CC,ReminderDAO,reminder,11
v1,CC,ReminderDAO,manageReminder,11
v1,CC,ReminderDAO,create,1
v1,CC,ReminderDAO,view,1
v1,CC,ReminderDAO,edit,1
v1,CC,ReminderDAO,delete,1
v1,CC,ReminderFilter,reminder,36
v1,CC,ReminderFilter,manageReminder,36
v1,CC,ReminderFilter,view,24
v1,CC,ReminderFilterArrayAdapter,reminder,32
v1,CC,ReminderFilterArrayAdapter,gui,32
v1,CC,ReminderListFragment,reminder,93
v1,CC,ReminderListFragment,gui,93
v1,CC,ReminderListFragment,fixedDate,14
v1,CC,ReminderListFragment,view,64
v1,CC,ReminderMainActivity,reminder,45
v1,CC,ReminderMainActivity,manageReminder,45
v1,CC,SpinnerAdapterGenerator,reminder,18
v1,CC,SpinnerAdapterGenerator,gui,18
v1,CC,TimePickerDialogFragment,reminder,44
v1,CC,TimePickerDialogFragment,gui,44
v1,CC,Utility,reminder,22
v1,CC,Utility,manageReminder,22
v2,CC,AddCategoryDialogFragment,manageCategory,90
v2,CC,AddReminderActivity,create,40
v2,CC,AddReminderActivity,staticCategory,23
v2,CC,AddReminderActivity,manageCategory,23
v2,CC,AllRemindersFilter,reminder,17
v2,CC,AllRemindersFilter,manageReminder,17
v2,CC,AllRemindersFilter,view,7
v2,CC,Category,staticCategory,50
v2,CC,CategoryArrayAdapter,staticCategory,34
v2,CC,CategoryDAO,staticCategory,12
v2,CC,CategoryDAO,manageCategory,3
v2,CC,CategoryFilter,manageCategory,22
v2,CC,CategoryFilter,staticCategory,22
v2,CC,Column,reminder,13
v2,CC,Column,manageReminder,13
v2,CC,Controller,reminder,122
v2,CC,Controller,manageReminder,122
v2,CC,Controller,staticCategory,33
v2,CC,Controller,manageCategory,65
v2,CC,Controller,view,7
v2,CC,Controller,create,7
v2,CC,Controller,edit,7
v2,CC,Controller,delete,7
v2,CC,DateFormat,fixedDate,11
v2,CC,DatePickerDialogFragment,fixedDate,43
v2,CC,DBConstants,reminder,36
v2,CC,DBConstants,manageReminder,36
v2,CC,DBConstants,staticCategory,16
v2,CC,DBConstants,manageCategory,16
v2,CC,DBConstants,fixedDate,4
v2,CC,DBConstants,done,2
v2,CC,DBException,reminder,4
v2,CC,DBException,manageReminder,4
v2,CC,DBFactory,reminder,13
v2,CC,DBFactory,manageReminder,13
v2,CC,DBFactory,staticCategory,1
v2,CC,DBFactory,manageCategory,1
v2,CC,DBHelper,reminder,43
v2,CC,DBHelper,manageReminder,43
v2,CC,DBHelper,staticCategory,4
v2,CC,DBHelper,manageCategory,4
v2,CC,DBInvalidEntityException,reminder,7
v2,CC,DBInvalidEntityException,manageReminder,7
v2,CC,DBTypes,reminder,4
v2,CC,DBTypes,manageReminder,4
v2,CC,DefaultCategoryDAO,staticCategory,115
v2,CC,DefaultCategoryDAO,manageCategory,34
v2,CC,DefaultDBFactory,reminder,15
v2,CC,DefaultDBFactory,manageReminder,15
v2,CC,DefaultDBFactory,staticCategory,4
v2,CC,DefaultDBFactory,manageCategory,4
v2,CC,DefaultReminderDAO,reminder,117
v2,CC,DefaultReminderDAO,manageReminder,117
v2,CC,DefaultReminderDAO,staticCategory,21
